x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,475.32184,264.62466
20.0,0.0,0.0,440.50244,263.23285
40.0,0.0,0.0,406.2218,261.7014
60.0,0.0,0.0,372.6837,259.91016
80.0,0.0,0.0,340.0107,258.24222
100.0,0.0,0.0,308.49207,256.51584
120.0,0.0,0.0,277.5959,255.09286
0.0,20.0,0.0,476.69138,230.0038
20.0,20.0,0.0,441.2503,228.63284
40.0,20.0,0.0,406.59464,227.64816
60.0,20.0,0.0,372.70612,226.32228
80.0,20.0,0.0,339.55396,225.40205
100.0,20.0,0.0,307.56766,224.25938
120.0,20.0,0.0,276.92807,223.40599
0.0,40.0,0.0,477.408,194.33427
20.0,40.0,0.0,441.71268,193.62064
40.0,40.0,0.0,406.76755,192.52245
60.0,40.0,0.0,372.57828,192.05171
80.0,40.0,0.0,339.26407,191.56076
100.0,40.0,0.0,307.0833,191.06427
120.0,40.0,0.0,275.86005,190.52164
0.0,60.0,0.0,477.91467,158.32228
20.0,60.0,0.0,442.11322,157.88603
40.0,60.0,0.0,406.80106,157.49673
60.0,60.0,0.0,372.3857,157.41675
80.0,60.0,0.0,338.89185,157.39815
100.0,60.0,0.0,306.548,157.64893
120.0,60.0,0.0,275.25006,158.04948
0.0,80.0,0.0,478.01114,122.23826
20.0,80.0,0.0,442.09683,122.08506
40.0,80.0,0.0,406.66895,122.14299
60.0,80.0,0.0,372.24942,122.28639
80.0,80.0,0.0,338.62314,123.086105
100.0,80.0,0.0,306.05914,123.96403
120.0,80.0,0.0,274.70535,124.87432
0.0,100.0,0.0,477.62332,86.22188
20.0,100.0,0.0,441.63654,86.24669
40.0,100.0,0.0,406.45435,86.711365
60.0,100.0,0.0,371.72195,87.874794
80.0,100.0,0.0,338.3092,88.79298
100.0,100.0,0.0,305.50098,90.3172
120.0,100.0,0.0,274.3947,92.21057
